NRO.,NRO. RESOLUCIÓN,FECHA DE EMISIÓN,SOLICITUD,FECHA SOLICITUD,NOMBRE DE LA ORGANIZACIÓN,PROVINCIA,PEDIDO_UNIFICADO
83,SGDPN-DRCPN-2025-0296-R,2025-04-30 00:00:00,SGDPN-SGDPN-2025-0920-E,2025-03-19 00:00:00,COMUNIDAD KICHWA AGUSTIN CAPAPUCHA DE AWAPUNGO,NAPO,SGDPN-SGDPN-2025-0920-E
84,SGDPN-DRCPN-2025-0309-R,2025-05-09 00:00:00,SGDPN-SGDPN-2025-0919-E,2025-03-19 00:00:00,ORGANIZACION FUERZAS SOCIALES DEL ECUADOR-FSE,PICHINCHA,SGDPN-SGDPN-2025-0919-E
85,SGDPN-DRCPN-2025-0314-R,2025-05-14 00:00:00,SGDPN-SGDPN-2025-1551-E,2025-05-07 00:00:00,ASOCIACION DE SOLIDARIZACION AFRODESCENDIENTE Y MONTUBIA DEL NORTE DE ESMERALDAS “ASAMNE”,ESMERALDAS,SGDPN-SGDPN-2025-1551-E
86,SGDPN-DRCPN-2025-0328-R,2025-05-20 00:00:00,SGDPN-SGDPN-2024-0672-E,2024-03-08 00:00:00,FUNDACION ESTRELLA SUYAY,PICHINCHA,SGDPN-SGDPN-2024-0672-E
87,SGDPN-DRCPN-2025-0329-R,2025-05-20 00:00:00,SGDPN-SGDPN-2025-1418-E,2025-04-25 00:00:00,FUNDACIÓN “WAWA MUYU”,PICHINCHA,SGDPN-SGDPN-2025-1418-E
88,SGDPN-DRCPN-2025-0330-R,2025-05-20 00:00:00,SGDPN-SGDPN -2024-3277-E,2024-11-06 00:00:00,CORPORACIÓN FÉNIX PARA EL RESCATE NATURAL Y CULTURAL,DESISTIMIENTO,SGDPN-SGDPN -2024-3277-E
89,SGDPN-DRCPN-2025-0341-R,2025-05-22 00:00:00,SGDPN-SGDPN-2025-1517-E,2025-05-05 00:00:00,"FUNDACIÓN PARA EL DESARROLLO DEL PUEBLO MONTUBIO DE GUAYAS “FDPMG""",GUAYAS,SGDPN-SGDPN-2025-1517-E
90,SGDPN-DRCPN-2025-0349-R,2025-05-27 00:00:00,SGDPN-SGDPN-2024-1167-E,2024-04-24 00:00:00,FUNDACIÓN INDIGENA “DAYUME CAENTO”,PASTAZA,SGDPN-SGDPN-2024-1167-E
91,SGDPN-DRCPN-2025-0363-R,2025-06-03 00:00:00,SGDPN-SGDPN-2024-3680-E,2024-12-10 00:00:00,CORPORACION INTERCULTURAL KACHIPUKARA,AZUAY,SGDPN-SGDPN-2024-3680-E
92,SGDPN-DRCPN-2025-0377-R,2025-06-06 00:00:00,SGDPN-SGDPN-2023-3216-E,2023-11-29 00:00:00,"COMUNIDAD DE LA NACIONALIDAD SHUAR ""CHARIP""",PASTAZA,SGDPN-SGDPN-2023-3216-E
93,SGDPN-DRCPN-2025-0397-R,2025-06-13 00:00:00,SGDPN-SGDPN-2024-1914-E,2024-07-08 00:00:00,FUNDACION COMO UN SUEÑO,CHIMBORAZO,SGDPN-SGDPN-2024-1914-E
94,SGDPN-DRCPN-2025-0401-R,2025-06-16 00:00:00,SGDPN-SGDPN-2025-2105-E,2025-06-13 00:00:00,FUNDACION MANABI PROFUNDO,MANABÍ,SGDPN-SGDPN-2025-2105-E
95,SGDPN-DRCPN-2025-0403-R,2025-06-18 00:00:00,SGDPN-SGDPN-2025-1343-E,2025-04-21 00:00:00,FUNDACIÓN ECOLÓGICA “EL AVE FENIX” DE LA AMAZONÍA,PASTAZA,SGDPN-SGDPN-2025-1343-E
96,SGDPN-DRCPN-2025-0408-R,2025-06-18 00:00:00,SGDPN-OTZ5-2025-0144-E,2025-05-07 00:00:00,RECINTO LAS PIÑAS DE ABAJO,GUAYAS,SGDPN-OTZ5-2025-0144-E
97,SGDPN-DRCPN-2025-0412-R,2025-06-18 00:00:00,SGDPN-OTZ5-2025-0126-E,2025-04-22 00:00:00,RECINTO JESUS MARIA,GUAYAS,SGDPN-OTZ5-2025-0126-E
98,SGDPN-DRCPN-2025-0424-R,2025-06-20 00:00:00,SGDPN-SGDPN-2022-1658-E,2022-05-27 00:00:00,COMUNA ANCESTRAL CERRITO DE LOS MORREÑOS,DESISTIMIENTO,SGDPN-SGDPN-2022-1658-E
99,SGDPN-DRCPN-2025-0425-R,2025-06-20 00:00:00,SGDPN-SGDPN-2024-3696-E,2024-12-02 00:00:00,ASOCIACIÒN DE MUJERES COFANES “A´ TSE”,SUCUMBIOS,SGDPN-SGDPN-2024-3696-E
100,SGDPN-DRCPN-2025-0426-R,2025-06-20 00:00:00,SGDPN-SGDPN -2025-1665-E,2025-05-16 00:00:00,FUNDACIÓN MUJERES AMAZONICAS DEFENSORAS DE LA SELVA,PASTAZA,SGDPN-SGDPN -2025-1665-E
101,SGDPN-DRCPN-2025-0436-R,2025-06-25 00:00:00,SGDPN-SGDPN -2025-2031-E,2025-06-10 00:00:00,ASOCIACIÓN DE WARMIKUNA KAWSAY KANCHAY,COTOPAXI,SGDPN-SGDPN -2025-2031-E
102,SGDPN-DRCPN-2025-0466-R,2025-07-02 00:00:00,SGDPN-OTZ6-2025-0107-E,2025-06-18 00:00:00,COMUNIDAD SAN JOSE DE ROMERILLO,CAÑAR,SGDPN-OTZ6-2025-0107-E
103,SGDPN-DRCPN-2025-0468-R,2025-07-04 00:00:00,SGDPN-OTZ1-2025-0047-E,2025-05-08 00:00:00,ASOCIACIÓN DE EMPRENDEDORES “POR UN FUTURO MEJOR”,ESMERALDAS,SGDPN-OTZ1-2025-0047-E
104,SGDPN-DRCPN-2025-0469-R,2025-07-04 00:00:00,SGDPN-SGDPN-2025-0042-E,2025-01-08 00:00:00,COMUNIDAD SHUAR PIATAYU SAN RAFAEL,MORONA SANTIAGO,SGDPN-SGDPN-2025-0042-E
105,SGDPN-DRCPN-2025-0470-R,2025-07-04 00:00:00,SGDPN-SGDPN-2024-2693-E,2024-09-12 00:00:00,"FUNDACION GOBERNANZA INDIGENA “USHAY”,",COTOPAXI,SGDPN-SGDPN-2024-2693-E
106,SGDPN-DRCPN-2025-0478-R,2025-07-07 00:00:00,SGDPN-SGDPN-2024-2693-E,2024-09-12 00:00:00,FUNDACION GOBERNANZA INDIGENA “USHAY”,COTOPAXI,SGDPN-SGDPN-2024-2693-E
107,SGDPN-DRCPN-2025-0487-R,2025-07-08 00:00:00,SGDPN-SGDPN-2025-0341-E,2025-02-03 00:00:00,COMUNIDAD JURIDICA ESCALERA LOMA,COTOPAXI,SGDPN-SGDPN-2025-0341-E
108,SGDPN-DRCPN-2025-0496-R,2025-07-10 00:00:00,SGDPN-SGDPN-2025-2652-E,2025-07-07 00:00:00,FUNDACION PARA EL DESARROLLO INTEGRAL Y DERECHOS COLECTIVOS “FUDIDCO”,PICHINCHA,SGDPN-SGDPN-2025-2652-E
109,SGDPN-DRCPN-2025-0497-R,2025-07-10 00:00:00,SGDPN-SGDPN-2025-2191-E,2025-06-18 00:00:00,CORPORACIÓN DE MUJERES KICHWAS MIRACHINA COMUKIM,TUNGURAHUA,SGDPN-SGDPN-2025-2191-E
110,SGDPN-DRCPN-2025-0501-R,2025-07-11 00:00:00,SGDPN-SGDPN-2025-2479-E,2025-06-25 00:00:00,FUNDACIÓN “KAMAY MAKI”,CHIMBORAZO,SGDPN-SGDPN-2025-2479-E
